City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Barra Do Garcas,BR,2020-04-24 03:09:57,-15.89,-52.26,70.93,82,60,1.61
112,Asau,RO,2020-04-24 03:09:57,46.43,26.4,42.01,57,33,3.69
113,Husavik,IS,2020-04-24 03:09:57,66.04,-17.34,35.6,75,46,10.29
114,Verkhnyaya Inta,RU,2020-04-24 03:09:57,65.98,60.31,22.06,95,100,18.21
115,Ixtapa,MX,2020-04-24 03:09:58,20.7,-105.2,75.2,78,40,5.82
116,Virginia Beach,US,2020-04-24 03:09:58,36.85,-75.98,66.99,77,90,8.05
117,Chicama,PE,2020-04-24 03:09:58,-7.84,-79.15,71.53,67,10,5.19
118,Belaya Gora,RU,2020-04-24 03:09:58,68.53,146.42,27.79,94,0,1.95
119,Oktyabrskoye,RU,2020-04-24 03:09:59,43.06,44.74,35.6,80,0,11.18
120,Geraldton,AU,2020-04-24 03:07:01,-28.77,114.6,73.4,56,40,16.11
121,Muros,ES,2020-04-24 03:09:59,42.78,-9.06,48.99,91,37,4.65
122,Sioux Lookout,CA,2020-04-24 03:09:59,50.1,-91.92,42.8,60,40,4.7
123,Butaritari,KI,2020-04-24 03:09:59,3.07,172.79,83.7,76,100,15.52
124,Nanortalik,GL,2020-04-24 03:10:00,60.14,-45.24,37.89,77,100,19.55
125,Vyatskiye Polyany,RU,2020-04-24 03:10:00,56.23,51.07,29.55,88,28,8.9
126,Portland,US,2020-04-24 03:09:52,45.52,-122.68,59.0,67,1,4.7
127,Bengkulu,ID,2020-04-24 03:10:00,-3.8,102.27,87.22,62,98,1.28
128,Yar-Sale,RU,2020-04-24 03:10:00,66.83,70.83,23.07,93,100,18.34
129,Acapulco,MX,2020-04-24 03:10:01,16.86,-99.89,78.8,88,20,6.93
130,Souillac,MU,2020-04-24 03:10:01,-20.52,57.52,75.99,89,66,7.0
131,Okha,RU,2020-04-24 03:08:46,53.57,142.95,30.52,97,100,18.01
132,Mount Gambier,AU,2020-04-24 03:10:01,-37.83,140.77,60.8,72,90,12.75
133,Santa Maria,BR,2020-04-24 03:10:01,-29.68,-53.81,65.66,64,1,6.53
134,Aswan,EG,2020-04-24 03:10:02,24.09,32.91,74.37,18,0,8.1
135,Kaitangata,NZ,2020-04-24 03:10:02,-46.28,169.85,57.63,61,91,6.71
136,Hay River,CA,2020-04-24 03:10:02,60.82,-115.8,26.6,79,75,8.05
137,Vaini,TO,2020-04-24 03:10:02,-21.2,-175.2,80.6,88,75,10.29
138,Conceicao Do Araguaia,BR,2020-04-24 03:10:03,-8.26,-49.26,73.71,86,55,1.95
139,Chabahar,IR,2020-04-24 03:10:03,25.29,60.64,81.88,54,3,11.83
140,Makushino,RU,2020-04-24 03:10:03,55.21,67.24,42.08,60,89,9.91
141,Grand Gaube,MU,2020-04-24 03:10:03,-20.01,57.66,75.99,89,14,7.0
142,Bubaque,GW,2020-04-24 03:10:04,11.28,-15.83,76.15,70,86,13.22
143,Hamilton,US,2020-04-24 03:06:53,39.18,-84.53,55.0,93,90,5.57
144,Lauchhammer,DE,2020-04-24 03:10:04,51.5,13.8,43.0,75,89,3.36
145,Selikhino,RU,2020-04-24 03:10:04,50.37,137.5,36.66,72,100,10.31
146,Ancud,CL,2020-04-24 03:10:04,-41.87,-73.82,53.01,100,75,9.17
147,Waitati,NZ,2020-04-24 03:10:04,-45.75,170.57,57.99,66,49,8.99
148,Nizwa,OM,2020-04-24 03:10:05,22.93,57.53,81.39,29,63,1.95
149,Tuktoyaktuk,CA,2020-04-24 03:10:05,69.45,-133.04,-0.4,70,20,9.17
150,Itoman,JP,2020-04-24 03:10:05,26.12,127.67,66.2,55,75,16.11
151,Mantua,IT,2020-04-24 03:10:05,45.17,10.78,46.99,75,0,2.24
152,Nouakchott,MR,2020-04-24 03:08:19,18.09,-15.98,64.4,88,64,14.99
153,Las Palmas,ES,2020-04-24 03:10:06,28.42,-14.01,64.4,72,75,12.75
154,Cidreira,BR,2020-04-24 03:10:06,-30.18,-50.21,68.59,83,0,16.24
155,Masterton,NZ,2020-04-24 03:10:06,-40.96,175.66,66.99,66,1,4.0
156,Bethel,US,2020-04-24 03:10:06,41.37,-73.41,44.01,48,90,3.36
157,Defiance,US,2020-04-24 03:10:06,41.33,-84.45,46.4,75,90,8.05
158,Kodiak,US,2020-04-24 03:10:07,57.79,-152.41,42.8,87,90,13.87
159,Gat,IL,2020-04-24 03:10:07,31.61,34.76,61.0,77,19,1.99
160,Broken Hill,AU,2020-04-24 03:10:07,-31.95,141.43,69.8,60,0,8.05
161,Mosquera,CO,2020-04-24 03:08:52,4.71,-74.23,51.8,93,40,5.82
162,Shepsi,RU,2020-04-24 03:10:07,44.04,39.15,47.55,66,0,5.14
163,Brownsville,US,2020-04-24 03:10:08,25.9,-97.5,78.8,83,1,9.17
164,Khatanga,RU,2020-04-24 03:10:08,71.97,102.5,33.85,90,47,16.26
165,Bilibino,RU,2020-04-24 03:10:08,68.05,166.44,31.15,83,0,1.39
166,Sur,OM,2020-04-24 03:05:55,22.57,59.53,86.23,39,58,6.87
167,Bossier City,US,2020-04-24 03:10:08,32.52,-93.73,68.0,72,1,2.93
168,Sao Filipe,CV,2020-04-24 03:10:09,14.9,-24.5,70.38,75,96,16.08
169,Arang,IN,2020-04-24 03:10:09,21.2,81.97,80.6,74,0,3.36
170,Quelimane,MZ,2020-04-24 03:10:09,-17.88,36.89,73.4,94,75,3.36
171,Vila Velha,BR,2020-04-24 03:10:09,-20.33,-40.29,72.0,94,1,3.36
172,Shache,CN,2020-04-24 03:10:09,38.42,77.24,66.45,25,22,7.85
173,Puerto Colombia,CO,2020-04-24 03:10:10,10.99,-74.95,82.4,78,97,12.75
174,Prainha,BR,2020-04-24 03:10:10,-1.8,-53.48,73.33,93,86,2.1
175,Coihaique,CL,2020-04-24 03:10:10,-45.58,-72.07,48.2,87,92,6.93
176,Malindi,KE,2020-04-24 03:10:10,-3.22,40.12,79.39,82,95,13.71
177,Dikson,RU,2020-04-24 03:10:11,73.51,80.55,34.0,92,100,19.86
178,Ilulissat,GL,2020-04-24 03:07:48,69.22,-51.1,28.4,92,9,5.82
179,Horconcitos,PA,2020-04-24 03:10:11,8.47,-81.8,68.22,76,94,4.43
180,High Level,CA,2020-04-24 03:10:11,58.52,-117.14,44.6,70,75,3.36
181,Veraval,IN,2020-04-24 03:10:12,20.9,70.37,84.58,70,9,11.39
182,Pevek,RU,2020-04-24 03:10:12,69.7,170.31,25.66,88,0,4.16
183,Carballo,ES,2020-04-24 03:10:12,43.21,-8.69,55.99,93,90,1.9
184,Dali,CN,2020-04-24 03:10:12,25.7,100.18,66.94,25,100,2.48
185,Mbini,GQ,2020-04-24 03:10:12,1.57,9.61,78.8,100,40,2.24
186,Baruun-Urt,MN,2020-04-24 03:10:12,46.68,113.28,48.88,29,61,24.34
187,Ternate,ID,2020-04-24 03:10:13,0.8,127.4,86.77,65,0,4.97
188,Isangel,VU,2020-04-24 03:10:13,-19.55,169.27,80.6,78,75,6.93
189,Rundu,NA,2020-04-24 03:10:13,-17.93,19.77,57.2,71,0,1.12
190,Mehamn,NO,2020-04-24 03:10:13,71.04,27.85,27.5,95,100,27.42
191,Calvia,ES,2020-04-24 03:10:14,39.57,2.51,52.0,87,86,4.7
192,Anloga,GH,2020-04-24 03:10:14,5.79,0.9,80.6,88,20,4.7
193,Monte Santo De Minas,BR,2020-04-24 03:09:07,-21.19,-46.98,61.36,72,0,4.09
194,Awjilah,LY,2020-04-24 03:10:14,29.11,21.29,62.73,79,0,21.68
195,Evensk,RU,2020-04-24 03:10:14,61.95,159.23,31.64,94,0,14.07
196,Pisco,PE,2020-04-24 03:10:14,-13.7,-76.22,69.8,77,0,10.29
197,Maniitsoq,GL,2020-04-24 03:10:15,65.42,-52.9,35.37,84,6,3.87
198,Tiksi,RU,2020-04-24 03:10:15,71.69,128.87,23.09,94,87,2.53
199,Fairbanks,US,2020-04-24 03:06:51,64.84,-147.72,43.0,38,1,5.82
200,Macklin,CA,2020-04-24 03:10:15,52.33,-109.93,48.76,39,26,5.7
201,Santa Isabel Do Rio Negro,BR,2020-04-24 03:10:16,-0.41,-65.02,74.25,83,66,1.45
202,Moron,AR,2020-04-24 03:10:16,-34.65,-58.62,72.0,83,100,11.41
203,Sao Miguel Do Araguaia,BR,2020-04-24 03:10:16,-13.28,-50.16,71.78,82,79,1.12
204,East London,ZA,2020-04-24 03:10:17,-33.02,27.91,69.01,83,98,4.0
205,Lublin,PL,2020-04-24 03:10:17,51.0,23.0,39.2,69,22,6.93
206,Chenghai,CN,2020-04-24 03:10:17,23.46,116.77,68.0,72,90,4.47
207,Majene,ID,2020-04-24 03:10:17,-3.54,118.97,85.23,69,100,6.24
208,New Norfolk,AU,2020-04-24 03:10:17,-42.78,147.06,63.0,66,99,8.99
209,Rosetown,CA,2020-04-24 03:10:17,51.55,-108.0,48.0,47,2,6.67
210,San Cristobal,VE,2020-04-24 03:10:18,7.77,-72.22,84.2,70,40,2.24
211,Asyut,EG,2020-04-24 03:10:18,27.18,31.18,68.0,34,0,12.75
212,Sorland,NO,2020-04-24 03:10:18,67.67,12.69,39.49,84,86,14.74
213,Miri,MY,2020-04-24 03:10:18,4.41,114.01,82.4,88,75,4.7
214,Faanui,PF,2020-04-24 03:10:18,-16.48,-151.75,80.74,70,8,16.15
215,Provideniya,RU,2020-04-24 03:10:19,64.38,-173.3,30.2,68,0,15.66
216,Vardo,NO,2020-04-24 03:10:19,70.37,31.11,26.6,73,75,13.87
217,Toamasina,MG,2020-04-24 03:10:19,-18.17,49.38,71.6,100,75,9.17
218,Hithadhoo,MV,2020-04-24 03:10:19,-0.6,73.08,84.11,73,100,8.61
219,Vila Franca Do Campo,PT,2020-04-24 03:10:19,37.72,-25.43,60.8,77,20,6.93
220,Mnogovershinnyy,RU,2020-04-24 03:10:20,53.94,139.92,28.02,94,100,15.19
221,Eureka,US,2020-04-24 03:07:11,40.8,-124.16,55.0,93,90,5.06
222,Kayerkan,RU,2020-04-24 03:10:20,69.35,87.76,35.6,100,40,13.42
223,Bintulu,MY,2020-04-24 03:10:21,3.17,113.03,82.4,88,75,3.36
224,Carndonagh,IE,2020-04-24 03:10:21,55.25,-7.27,46.35,75,100,3.58
225,Along,IN,2020-04-24 03:07:05,28.17,94.77,66.79,57,100,2.17
226,Dawlatabad,AF,2020-04-24 03:10:22,36.41,64.91,69.13,48,100,9.84
227,Tornio,FI,2020-04-24 03:10:22,65.85,24.15,30.2,86,90,12.75
228,Pangai,TO,2020-04-24 03:10:22,-19.8,-174.35,84.2,70,40,5.82
229,Alihe,CN,2020-04-24 03:10:22,50.57,123.72,45.12,43,99,7.52
230,Punto Fijo,VE,2020-04-24 03:10:22,11.7,-70.2,78.76,79,57,22.37
231,Sampit,ID,2020-04-24 03:10:23,-2.53,112.95,89.46,60,54,3.27
232,Sartell,US,2020-04-24 03:10:23,45.62,-94.21,53.6,58,90,3.36
233,Orlik,RU,2020-04-24 03:10:23,52.52,99.83,54.34,22,1,4.43
234,Alugan,PH,2020-04-24 03:10:24,12.22,125.48,83.82,74,100,10.51
235,Ishurdi,BD,2020-04-24 03:10:24,24.13,89.08,79.83,63,85,9.89
236,Samarai,PG,2020-04-24 03:10:24,-10.62,150.67,83.53,70,76,8.25
237,Vostok,RU,2020-04-24 03:10:24,46.49,135.88,33.84,67,100,5.5
238,Chuy,UY,2020-04-24 03:10:25,-33.7,-53.46,65.21,91,36,11.7
239,Rongcheng,CN,2020-04-24 03:10:25,30.63,117.85,66.0,59,1,4.59
240,Anqing,CN,2020-04-24 03:10:25,30.51,117.05,71.56,37,1,7.31
241,Kenai,US,2020-04-24 03:10:25,60.55,-151.26,42.8,87,90,5.82
242,Havoysund,NO,2020-04-24 03:10:26,71.0,24.66,30.2,63,75,39.15
243,Den Helder,NL,2020-04-24 03:10:26,52.96,4.76,52.0,81,90,6.93
244,Mackay,AU,2020-04-24 03:10:26,-21.15,149.2,82.99,54,4,12.75
245,Dongli,CN,2020-04-24 03:10:26,23.57,116.82,68.0,72,90,4.47
246,Paraiso,CR,2020-04-24 03:10:27,9.84,-83.87,73.4,83,75,4.7
247,Ocampo,MX,2020-04-24 03:10:27,21.65,-101.5,64.62,10,31,3.02
248,Ardakan,IR,2020-04-24 03:07:06,32.31,54.02,60.8,63,0,6.93
249,Longyearbyen,SJ,2020-04-24 03:10:27,78.22,15.64,15.8,61,0,3.36
250,Beringovskiy,RU,2020-04-24 03:10:27,63.05,179.32,21.11,94,6,10.22
251,Barra Patuca,HN,2020-04-24 03:10:28,15.8,-84.28,81.64,75,31,21.54
