City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
123,Altay,CN,2020-05-01 23:12:09,47.87,88.12,47.7,35,0,3.0,clear sky,0,0
124,Faya,SA,2020-05-01 23:12:09,18.39,42.45,66.2,82,20,0.45,few clouds,0,0
125,Borogontsy,RU,2020-05-01 23:12:09,62.67,131.17,25.57,95,69,8.19,broken clouds,0,0
126,Arraial Do Cabo,BR,2020-05-01 23:12:10,-22.97,-42.03,74.28,86,7,9.69,clear sky,0,0
127,Champerico,GT,2020-05-01 23:12:10,14.3,-91.92,84.2,79,75,9.17,thunderstorm,0,0
128,Kahului,US,2020-05-01 23:12:10,20.89,-156.47,82.4,61,40,26.4,scattered clouds,0,0
129,Moba,CN,2020-05-01 23:12:10,33.23,105.02,52.81,36,55,2.51,broken clouds,0,0
130,Arlit,NE,2020-05-01 23:12:10,18.74,7.39,88.93,10,19,3.89,few clouds,0,0
131,Shingu,JP,2020-05-01 23:12:11,33.73,135.98,68.59,61,0,2.86,clear sky,0,0
132,Madeji,PK,2020-05-01 23:12:11,27.75,68.45,87.8,48,40,5.26,haze,0,0
133,Rundu,NA,2020-05-01 23:12:11,-17.93,19.77,61.36,31,0,3.04,clear sky,0,0
134,Bambanglipuro,ID,2020-05-01 23:12:11,-7.95,110.28,75.58,88,54,3.67,broken clouds,0,0
135,Fortuna,US,2020-05-01 23:12:11,40.6,-124.16,69.01,60,20,11.41,few clouds,0,0
136,Barcelos,PT,2020-05-01 23:12:11,41.54,-8.62,60.8,100,75,9.17,mist,0,0
137,Pouso Alegre,BR,2020-05-01 23:12:12,-22.23,-45.94,61.65,67,1,1.81,clear sky,0,0
138,Mehamn,NO,2020-05-01 23:12:12,71.04,27.85,31.53,96,35,10.98,scattered clouds,0,0
139,Oparino,RU,2020-05-01 23:12:12,59.85,48.28,27.27,97,74,5.17,broken clouds,0,0
140,Kidal,ML,2020-05-01 23:12:12,18.44,1.41,90.81,10,22,12.53,few clouds,0,0
141,Buala,SB,2020-05-01 23:12:12,-8.14,159.59,85.84,72,86,8.41,overcast clouds,0,0
142,Kozmodemyansk,RU,2020-05-01 23:12:13,56.34,46.57,35.6,93,0,4.47,clear sky,0,0
143,Umm Lajj,SA,2020-05-01 23:12:13,25.02,37.27,75.16,48,0,4.59,clear sky,0,0
144,Port Elizabeth,ZA,2020-05-01 23:12:13,-33.92,25.57,57.2,93,43,3.36,scattered clouds,0,0
145,Narsaq,GL,2020-05-01 23:12:13,60.92,-46.05,41.0,56,77,9.17,broken clouds,0,0
146,Chicama,PE,2020-05-01 23:12:13,-7.84,-79.15,73.62,66,25,8.12,scattered clouds,0,0
147,Esperance,AU,2020-05-01 23:12:14,-33.87,121.9,48.2,81,81,13.87,broken clouds,0,0
148,Simpang,ID,2020-05-01 23:12:14,-1.27,104.08,73.09,98,100,1.92,moderate rain,0,0
149,Mufulira,ZM,2020-05-01 23:12:14,-12.55,28.24,61.63,65,4,4.56,clear sky,0,0
150,Souillac,MU,2020-05-01 23:12:14,-20.52,57.52,75.2,73,20,9.17,few clouds,0,0
151,Nkhotakota,MW,2020-05-01 23:12:14,-12.93,34.3,73.56,70,46,4.47,light rain,0,0
152,Coromandel,BR,2020-05-01 23:12:15,-18.47,-47.2,61.95,60,2,2.35,clear sky,0,0
153,Kondoa,TZ,2020-05-01 23:12:15,-4.9,35.78,60.13,65,3,2.24,clear sky,0,0
154,Santa Cruz De La Palma,ES,2020-05-01 23:09:39,28.68,-17.76,68.0,72,90,9.17,overcast clouds,0,0
155,Odweyne,SO,2020-05-01 23:12:15,9.41,45.06,75.09,56,70,8.48,broken clouds,0,0
156,Oranjemund,NA,2020-05-01 23:12:15,-28.55,16.43,62.04,65,32,3.74,scattered clouds,0,0
157,Henties Bay,NA,2020-05-01 23:12:16,-22.12,14.28,59.0,94,0,9.17,clear sky,0,0
158,Leningradskiy,RU,2020-05-01 23:12:16,69.38,178.42,26.11,92,11,8.72,few clouds,0,0
159,San Jose,US,2020-05-01 23:11:25,37.34,-121.89,77.0,33,20,17.22,few clouds,0,0
160,Noumea,NC,2020-05-01 23:12:16,-22.28,166.46,82.4,61,0,8.05,clear sky,0,0
161,The Valley,AI,2020-05-01 23:08:17,18.22,-63.06,82.4,69,20,14.99,few clouds,0,0
162,San Jose De Guanipa,VE,2020-05-01 23:12:17,8.89,-64.17,88.92,46,62,14.85,light rain,0,0
163,Rio Grande,BR,2020-05-01 23:12:17,-32.03,-52.1,57.0,88,2,10.92,clear sky,0,0
164,Werda,BW,2020-05-01 23:12:17,-25.27,23.28,63.84,27,0,5.3,clear sky,0,0
165,Bougouni,ML,2020-05-01 23:12:17,11.42,-7.48,90.52,35,91,9.22,overcast clouds,0,0
166,Ca Mau,VN,2020-05-01 23:12:17,9.18,105.15,79.48,84,91,3.44,overcast clouds,0,0
167,Butaritari,KI,2020-05-01 23:12:18,3.07,172.79,83.52,80,71,19.93,moderate rain,0,0
168,Upernavik,GL,2020-05-01 23:12:18,72.79,-56.15,30.78,94,99,10.69,overcast clouds,0,0
169,Sakakah,SA,2020-05-01 23:10:20,29.97,40.21,71.6,17,3,13.87,clear sky,0,0
170,Balkanabat,TM,2020-05-01 23:09:04,39.51,54.37,64.0,66,0,3.58,clear sky,0,0
171,Cherskiy,RU,2020-05-01 23:12:19,68.75,161.3,31.89,95,65,13.82,broken clouds,0,0
172,Trincomalee,LK,2020-05-01 23:12:19,8.57,81.23,81.09,83,2,5.79,clear sky,0,0
173,Naryan-Mar,RU,2020-05-01 23:12:19,67.67,53.09,22.6,97,96,6.53,overcast clouds,0,0
174,Huarmey,PE,2020-05-01 23:12:19,-10.07,-78.15,71.74,76,17,8.08,few clouds,0,0
175,San Quintin,MX,2020-05-01 23:12:19,30.48,-115.95,68.76,69,2,11.54,clear sky,0,0
176,Katsuura,JP,2020-05-01 23:12:20,35.13,140.3,70.0,69,0,3.0,clear sky,0,0
177,Faanui,PF,2020-05-01 23:12:20,-16.48,-151.75,82.38,76,4,10.16,clear sky,0,0
178,Ulladulla,AU,2020-05-01 23:12:20,-35.35,150.47,55.99,50,93,35.57,overcast clouds,0,0
179,Tingi,TZ,2020-05-01 23:12:20,-11.3,35.03,61.83,68,16,4.45,few clouds,0,0
180,Sydney,AU,2020-05-01 23:10:26,-33.87,151.21,60.8,44,71,23.04,broken clouds,0,0
181,Nabire,ID,2020-05-01 23:12:21,-3.37,135.48,79.56,83,90,2.73,overcast clouds,0,0
182,Naze,JP,2020-05-01 23:12:21,28.37,129.48,69.8,83,75,10.29,broken clouds,0,0
183,Severnyy,RU,2020-05-01 23:12:21,50.68,36.55,51.8,93,20,8.95,few clouds,0,0
184,Owando,CG,2020-05-01 23:12:21,-0.48,15.9,72.63,88,100,3.22,overcast clouds,0,0
185,Maniitsoq,GL,2020-05-01 23:12:21,65.42,-52.9,33.22,90,97,12.03,overcast clouds,0,0
186,Clyde River,CA,2020-05-01 23:12:21,70.47,-68.59,12.2,85,40,14.99,scattered clouds,0,0
187,Manoharpur,IN,2020-05-01 23:12:22,27.3,75.95,86.0,22,20,3.36,haze,0,0
188,Paranaiba,BR,2020-05-01 23:12:22,-19.68,-51.19,70.18,59,1,1.39,clear sky,0,0
189,Quatre Cocos,MU,2020-05-01 23:12:22,-20.21,57.76,75.2,73,20,9.17,few clouds,0,0
190,Yarmouth,US,2020-05-01 23:12:22,41.71,-70.23,60.8,77,1,11.41,clear sky,0,0
191,Guiuan,PH,2020-05-01 23:12:23,11.03,125.72,81.75,83,100,11.92,light rain,0,0
192,Falam,MM,2020-05-01 23:12:23,22.92,93.68,54.54,63,0,2.51,clear sky,0,0
193,Chuy,UY,2020-05-01 23:12:23,-33.7,-53.46,56.28,91,29,11.05,light rain,0,0
194,Asopia,GR,2020-05-01 23:12:23,38.3,23.5,64.99,62,20,4.7,few clouds,0,0
195,Van Buren,US,2020-05-01 23:12:23,35.44,-94.35,84.2,35,1,11.41,clear sky,0,0
196,Angoche,MZ,2020-05-01 23:12:24,-16.23,39.91,76.17,83,13,7.74,few clouds,0,0
197,Sorong,ID,2020-05-01 23:12:24,-0.88,131.25,80.55,82,54,9.33,broken clouds,0,0
