City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
299,Komsomolskiy,UZ,66.2,40.43,71.72,"Hotel ""Ikathouse"""
300,Avera,US,75.2,33.19,-82.53,
301,Lichinga,MZ,60.78,-13.31,35.24,Residencial Bendiak
302,Townsville,AU,71.01,-19.25,146.8,Rydges Southbank Townsville
303,Half Moon Bay,US,73.99,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
307,Port Lincoln,AU,60.37,-34.73,135.87,Port Lincoln Hotel
309,Bend,US,64.4,44.06,-121.32,Fairfield Inn & Suites by Marriott Bend Downtown
310,Rong Kwang,TH,75.7,18.34,100.32,Rong Kwang Hotel
312,Moerai,PF,75.2,-22.43,-151.33,Le Manotel
313,Guerrero Negro,MX,71.29,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
315,Eenhana,,65.97,-17.47,16.33,Hotel Litu
316,Bambous Virieux,MU,75.2,-20.34,57.76,Casa Tia Villa
319,Luderitz,,66.6,-26.65,15.16,LÜDERITZ NEST HOTEL
322,Tura,IN,71.62,25.52,90.22,Hotel RIKMAN Continental
323,Zhicheng,CN,71.01,30.3,111.5,Wangjiang Building
324,High Rock,BS,78.8,26.62,-78.28,Ocean Pearl Bonefishing Resort
325,Pitimbu,BR,78.8,-7.47,-34.81,Reserva do Abiaí
326,Formosa,AR,64.4,-26.18,-58.18,Asterión Hotel
328,Liuzhou,CN,73.36,24.31,109.39,Linjiang Inn
329,Shuangcheng,CN,71.01,45.35,126.28,Xingcheng Hotel
330,Antofagasta,CL,62.6,-23.65,-70.4,Hotel Terrado Suites Antofagasta
336,Daru,PG,79.52,-9.08,143.21,New century hotel
337,Banda Aceh,ID,79.3,5.56,95.32,OYO 884 Rumoh PMI Hotel
338,North Bend,US,64.99,43.41,-124.22,Red Lion Hotel Coos Bay
341,Seoul,KR,68.0,37.57,126.98,Lotte Hotel Seoul
343,Acarau,BR,79.3,-2.89,-40.12,castelo pizzaria
353,Meulaboh,ID,76.32,4.14,96.13,Kost Pria
354,Waingapu,ID,78.62,-9.66,120.26,Pondok Wisata Elim
355,Charters Towers,AU,62.67,-20.1,146.27,Cattleman's Rest Motor Inn
358,Lata,PT,62.6,40.16,-8.33,Casa Maquia
359,Taltal,CL,60.6,-25.4,-70.48,Residencial Karime
362,Westport,US,61.0,41.14,-73.36,The Westport Inn
366,Lucapa,AO,67.66,-8.42,20.74,Residência Ulisses Dos Santos
368,Batangafo,CF,75.83,7.3,18.28,OCHA Office
369,Iquique,CL,66.2,-20.22,-70.14,Backpacker`s Hostel Iquique
370,Singaraja,ID,79.61,-8.11,115.09,Puri Saron Hotels
373,Kabanjahe,ID,78.8,3.1,98.49,Pelindung Bawah Losmen
376,Skeldon,GY,78.8,5.88,-57.13,Rits Hotel
378,Kota Bahru,MY,77.0,6.13,102.24,Grand Riverview Hotel
380,Nelson Bay,AU,60.01,-32.72,152.15,Mantra Nelson Bay
382,Saint Marys,US,78.8,30.73,-81.55,Spencer House Inn
383,Vila Franca Do Campo,PT,62.6,37.72,-25.43,Pestana Bahia Praia
385,Nueve De Julio,AR,63.0,-35.44,-60.88,Grand Hotel Libertad - Restaurante Duomo
389,Maceio,BR,78.8,-9.67,-35.74,Mercure Maceio Pajucara Hotel
390,Kapit,MY,75.29,2.02,112.93,Hotel Meligai Kapit
391,Sehithwa,BW,62.28,-20.47,22.72,MONLEK GUEST HOUSE
397,Palamos,ES,61.0,41.85,3.13,Hotel Rosamar
398,Denia,ES,73.0,38.84,0.11,Hotel Port Dénia
400,Akdepe,TM,62.6,42.06,59.38,Мой дом
402,Yuxia,CN,73.0,34.06,108.63,Xinhua Hostel
403,Santa Lucia,ES,68.0,27.91,-15.54,Hotel Viverde Las Tirajanas
408,Pisco,PE,71.6,-13.7,-76.22,Hostal San Isidro Oficial
410,Mathathane,BW,62.8,-22.27,28.75,Selepswe Resort
411,Itaituba,BR,77.9,-4.28,-55.98,Hotel Campos
412,Alyangula,AU,77.0,-13.85,136.42,Groote Eylandt Lodge
415,Qinzhou,CN,74.34,21.95,108.62,Jinjiang Inn Style Qingzhou Walmart
416,Mizdah,LY,66.69,31.45,12.98,محمدالمبروك الاريقط
418,Thatta,PK,77.81,24.75,67.92,We Care Guest House
419,Arauca,CO,78.8,7.08,-70.76,Hotel Verano Plaza
420,Bequimao,BR,75.2,-2.45,-44.78,Hotel e Restaurante Brisamar
426,Yinchuan,CN,77.0,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
432,Beloha,MG,67.12,-25.17,45.05,
434,Ondangwa,,71.11,-17.92,15.95,Protea Hotel by Marriott Ondangwa
436,Same,TZ,66.45,-4.07,37.73,Elephant Motel
437,Warri,NG,78.22,5.52,5.75,BON Hotel Delta
438,Niquelandia,BR,70.43,-14.47,-48.46,Hotel Suinã
439,Biak,ID,78.75,-0.91,122.88,Kost Ariz
440,Karratha,AU,64.4,-20.74,116.85,ibis Styles Karratha
445,Veinticinco De Mayo,AR,63.0,-35.43,-60.17,Estancia La Rosada
448,Himensulan,PH,77.0,10.6,124.28,Swisslagoon Hotel & Nipa hut
450,Fernley,US,71.01,39.61,-119.25,Super 8 by Wyndham Fernley
452,Los Llanos De Aridane,ES,68.0,28.66,-17.92,Valle Aridane
453,Geraldton,AU,60.8,-28.77,114.6,Broadwater Mariner Resort
457,Loandjili,CG,78.53,-4.76,11.86,Résidence ARCHANGE
462,Marzuq,YE,78.01,14.4,46.47,
464,Boende,CD,72.05,-0.22,20.87,
467,Luena,AO,60.24,-11.78,19.92,Hotel Kandamba
470,Abha,SA,66.2,18.22,42.51,Abha Hotel
471,Agropoli,IT,62.01,40.35,15.0,B&B Baia di Trentova
472,Winthrop,US,64.0,42.38,-70.98,Courtyard by Marriott Boston Logan Airport
473,Itanagar,IN,68.47,27.1,93.62,OYO 45507 Hotel Moomsie
475,Caravelas,BR,74.28,-17.71,-39.25,Pousada dos Navegantes
476,Saint-Pierre,RE,69.8,-21.34,55.48,Lindsey Hôtel
479,Bam,IR,74.17,29.11,58.36,Bam Tourist Hotel
480,Vredendal,ZA,65.16,-31.67,18.5,Tharrakamma Guest House
483,Tuensang,IN,61.97,26.28,94.83,B.W.D Resthouse.
485,Effium,NG,77.56,6.63,8.06,
495,Ardakan,IR,64.4,32.31,54.02,Ardakan Hotel
496,Manono,CD,70.02,-7.3,27.42,Hotel hewa bora
498,Matara,LK,79.14,5.95,80.54,Amaloh Boutique Resort
503,Marsh Harbour,BS,74.03,26.54,-77.06,Abaco Beach Resort
504,Surt,LY,64.0,31.21,16.59,City Hotel
512,Ngunguru,NZ,66.99,-35.62,174.5,Pacific Rendezvous Motel Resort
516,Bud,US,64.99,39.45,-86.18,Madsion Scouts Camp
521,Yambio,SS,68.13,4.57,28.4,Kabash Inn
523,Bon Accord,CA,60.01,53.83,-113.42,
526,Lyndon,US,72.0,38.26,-85.6,SpringHill Suites by Marriott Louisville Hurstbourne/North
527,Aketi,CD,69.35,2.74,23.78,
528,Sinnamary,GF,79.25,5.38,-52.95,ALETHEIA Appartement Sinnamary
531,Plettenberg Bay,ZA,62.67,-34.05,23.37,Thanda Vista B&B
535,Zhuhai,CN,75.2,22.28,113.57,珠海粤财假日酒店
538,Monopoli,IT,63.0,40.96,17.29,Il Melograno
541,Amapa,BR,74.44,1.0,-52.0,
542,Morris,US,64.99,40.83,-74.53,Parsippany Inn and Suites Morris Plains
543,Ankazoabo,MG,67.05,-22.28,44.52,
544,Tabuk,PH,76.87,17.42,121.44,
545,Ponta Delgada,PT,62.6,37.73,-25.67,Vila Nova Hotel
546,Portland,US,62.01,45.52,-122.68,Portland Marriott City Center
548,Bubaque,GW,79.84,11.28,-15.83,Casa Dora
549,Bhinga,IN,78.01,27.72,81.93,Dfo office shrawasti van prabhag
550,Agogo,GH,76.1,6.8,-1.08,Tele Centre Hotel
551,Terrace,CA,60.8,54.52,-128.6,Northern Motor Inn
552,Puerto Rico,AR,64.92,-26.8,-55.02,Hotel Cabañas del Prado
553,Orange,US,77.0,33.7,-117.77,La Quinta Inn & Suites by Wyndham Irvine Spectrum
554,Jacmel,HT,79.43,18.23,-72.53,Hotel Florita
556,Ishigaki,JP,75.2,24.34,124.16,Hotel Peace Land Ishigakijima
565,Padang,ID,77.59,-0.95,100.35,Mercure Padang
